year,box,attempt,species,id,sex,partner,laydate,hatchdate,clutch,hatched,fledged
1948,x63,1,g,hm00299,2,,14,38,12,12,12
1948,x90,1,g,xa02323,2,,14,41,15,15,13
1948,b154,1,g,xa02326,2,,6,28,10,10,8
1948,x57,1,g,xa02328,2,,10,33,11,11,11
1948,x71,1,g,xa02330,2,,17,42,13,13,11
1948,x24,1,g,xa02336,2,,10,37,15,15,0
1948,x17,1,g,xa02339,2,,41,61,8,6,6
1948,x23,1,g,xa02339,2,,13,36,11,10,0
1948,x61,1,g,xa03625,2,,2,27,13,12,6
1948,b159,1,g,xa03627,2,,5,28,11,10,10
1948,b132,1,g,xa03628,2,,4,27,11,11,11
1948,b115,1,g,xa03629,2,,6,30,12,12,11
1948,b186,1,g,xa05871,2,,40,60,8,8,7
1948,b191,1,g,xa05871,2,,9,33,12,,0
1948,b145,1,g,xa05872,2,,12,34,10,5,5
1948,b162,1,g,xa05875,2,,9,,0,0,0
1948,b163,1,g,xa05875,2,,13,34,9,9,9
1948,b180,1,g,xa05876,2,,10,34,12,11,11
1948,b133,1,g,xa05878,2,,4,31,15,9,9
1948,x26,1,g,xa05970,2,,54,,,,5
1948,x30,1,g,xa05970,2,,10,36,14,13,13
1948,x37,1,g,xa09246,2,,50,73,11,11,5
1948,x40,1,g,xa09246,2,,4,31,15,15,14
1948,x10,1,g,xa09267,2,,5,29,12,12,12
1948,x4,1,g,xa09270,2,,15,40,13,13,13
1948,b112,1,g,xa09272,2,,5,27,10,10,10
1948,x48,1,g,xa09273,2,,12,36,12,12,12
1948,b137,1,g,xa09276,2,,8,34,14,13,13
1948,x87,1,g,xa09277,2,,10,35,13,13,13
1948,b166,1,g,xb03940,2,,13,37,12,,0
1948,b167,1,g,xb03940,2,,45,64,7,7,0
1948,b197,1,g,xb03959,2,,5,30,13,13,13
1948,b198,1,g,xb03959,2,,51,71,8,8,7
1948,x6,1,g,xb05877,2,,11,35,12,12,12
1948,b151,1,g,xb05976,2,,11,34,11,11,11
1948,b143,1,g,xb06081,2,,17,41,12,12,9
1948,b161,1,g,xb06083,2,,10,32,10,10,10
1948,x14,1,g,xb06087,2,,10,32,10,10,10
1948,x33,1,g,xbo5883,2,,22,45,11,11,8
1948,x54,1,g,xc00335,2,,10,34,12,12,12
1948,x3,1,g,xc00338,2,,12,39,15,15,15
1948,b160,1,g,xc02133,2,,19,45,14,14,14
1948,b185,1,g,xc02147,2,,27,48,9,9,0
1948,b190,1,g,xc02147,2,,16,39,11,0,0
1948,b123,1,g,xd01494,2,,13,37,12,12,12
1948,b124,1,g,xd01494,2,,55,74,7,7,6
1948,b117,1,g,xd01767,2,,34,61,14,14,11
1949,b163,1,g,bn00193,2,,31,50,7,7,7
1949,b111,1,g,bn00303,2,,22,45,11,11,11
1949,x96,1,g,bn00319,2,,23,44,9,9,6
1949,x4,1,g,bn00342,2,,24,46,10,9,9
1949,x25,1,g,bn00343,2,,23,45,10,10,10
1949,x23,1,g,bn00346,2,,25,47,10,10,8
1949,x28,1,g,bn00350,2,,23,45,10,10,10
1949,x52,1,g,bn00351,2,,24,45,9,9,9
1949,x86,1,g,bn00361,2,,26,46,8,6,6
1949,x88,1,g,bn00362,2,,26,47,9,9,8
1949,x90,1,g,bn00363,2,,23,44,9,9,0
1949,x32,1,g,bn00366,2,,22,45,11,11,11
1949,x58,1,g,bn00367,2,,25,44,7,7,4
1949,x57,1,g,bn00368,2,,25,46,9,8,8
1949,x7,1,g,bn00369,2,,27,50,11,10,9
1949,x48,1,g,bn00370,2,,22,46,12,12,12
1949,x62,1,g,bn00374,2,,30,52,10,10,10
1949,b191,1,g,bn00375,2,,25,48,11,11,10
1949,b188,1,g,bn00384,2,,21,44,11,11,11
1949,x2,1,g,cd00338,2,,19,44,13,13,11
1949,x65,1,g,hm00299,2,,24,45,9,9,9
1949,x98,1,g,xa02326,2,,20,43,11,11,0
1949,x17,1,g,xa02339,2,,21,44,11,9,9
1949,b157,1,g,xa05875,2,,19,41,10,10,10
1949,b136,1,g,xa05878,2,,17,39,10,10,9
1949,x41,1,g,xa09246,2,,20,45,13,13,11
1949,x10,1,g,xa09267,2,,19,41,10,9,9
1949,x80,1,g,xa09270,2,,22,44,10,9,9
1949,b112,1,g,xa09272,2,,20,41,9,9,9
1949,b118,1,g,xa09273,2,,19,42,11,11,11
1949,b127,1,g,xb03959,2,,21,44,11,11,11
1949,x34,1,g,xb05883,2,,24,46,10,10,10
1949,b132,1,g,xb05976,2,,21,43,10,,0
1949,b150,1,g,xb05976,2,,55,73,6,0,0
1949,x70,1,g,xc01763,2,,26,48,10,5,5
1949,b189,1,g,xc01769,2,,24,45,9,9,9
1949,x59,1,g,xc01789,2,,24,45,9,9,9
1949,b109,1,g,xc02063,2,,19,41,10,10,9
1949,x68,1,g,xc02098,2,,22,43,9,8,8
1949,x78,1,g,xc02099,2,,22,44,10,4,4
1949,x0,1,g,xd01412,2,,21,43,10,10,8
1949,b115,1,g,xd01480,2,,22,42,8,8,7
1949,b124,1,g,xd01494,2,,21,45,12,12,12
1949,x35,1,g,xd01535,2,,32,55,11,11,10
1949,x82,1,g,xd01648,2,,24,47,11,10,10
1949,b105,1,g,xd01727,2,,23,44,9,9,9
1949,x37,1,g,xd01781,2,,21,44,11,11,11
1949,x74,1,g,xd03175,2,,24,47,11,9,9
1949,x53,1,g,xd06901,2,,24,45,9,9,7
1949,b120,1,g,xd07132,2,,25,42,5,5,5
1949,x13,1,g,xd07246,2,,23,46,11,10,10
1949,b139,1,g,xd07249,2,,24,46,10,10,10
1949,b179,1,g,xd07272,2,,30,50,8,8,8
1950,b18,1,g,bn00158,2,,32,52,8,8,8
1950,b81,1,g,bn00215,2,,31,51,8,7,7
1950,b14,1,g,bn00223,2,,22,45,11,11,6
1950,b17,1,g,bn00319,2,,32,55,11,11,5
1950,b161,1,g,bn00361,2,,25,47,16,16,14
1950,b109,1,g,bn00429,2,,31,52,9,6,5
1950,b22,1,g,bw00724,2,,34,56,10,9,9
1950,b39,1,g,bw00731,2,,29,49,8,8,8
1950,b121,1,g,ex02198,2,,26,45,7,6,6
1950,b159,1,g,xa05875,2,,12,33,9,9,6
1950,b112,1,g,xa09272,2,,17,35,6,5,5
1950,b74,1,g,xc02099,2,,32,54,10,9,9
1950,b24,1,g,xd01494,2,,26,,0,0,0
1950,b34,1,g,xd01648,2,,24,47,11,11,8
1950,b92,1,g,xd09481,2,,26,49,11,11,10
1950,b194,1,g,xe01726,2,,32,53,9,9,9
1950,b90,1,g,xe01830,2,,32,53,9,8,8
1950,x221,1,g,xe02009,2,,38,60,10,9,8
1950,b145,1,g,xe02197,2,,26,49,11,10,9
1950,b56,1,g,xe02200,2,,34,53,7,7,7
1950,b77,1,g,xf08926,2,,22,,,,6
1950,b99,1,g,xf08978,2,,35,57,12,12,12
1950,b30,1,g,xf09025,2,,26,47,9,7,7
1950,b132,1,g,xf09038,2,,30,51,9,8,7
1950,b87,1,g,xf09295,2,,36,55,7,7,7
1950,b141,1,g,xj09539,2,,36,57,9,9,3
1950,x204,1,g,xj09719,2,,38,59,9,7,4
1951,b19,1,g,xe02198,2,,36,56,8,7,7
1956,b22,1,g,xa22279,2,,34,56,10,10,9
1956,b153,1,g,xa35284,2,,27,51,12,11,11
1956,b68,1,g,xa64609,2,,31,54,11,0,0
1956,b86,1,g,xa64610,2,,34,54,8,8,8
1956,b51,1,g,xj09614,2,,27,50,11,10,10
1959,w4,1,b,30024,2,,17,,12,,0
1959,o70,1,b,36791,2,,20,42,11,4,2
1959,w30,1,b,37273,2,,18,,11,,0
1959,b147,1,b,37288,2,,50,67,6,6,5
1959,ex49c,1,b,37316,2,,41,58,7,7,7
1959,ex49a,1,b,k36980,2,,35,53,7,7,7
1959,w41,1,g,603744,1,,10,32,10,10,9
1959,ex47,1,g,603745,1,,11,30,11,11,7
1959,w57,1,g,603746,1,,18,38,8,5,5
1959,ex53,1,g,603747,1,,15,36,9,9,9
1959,b77,1,g,e77087,2,,16,36,8,8,8
1959,w37,1,g,e77092,2,e77104,18,37,10,10,9
1959,w37,1,g,e77104,1,e77092,18,37,10,10,9
1960,cp31,1,b,28783,2,,14,38,13,11,11
1960,o71,1,b,36791,2,,18,42,13,12,11
1960,cp54,1,b,37235,2,,12,43,14,12,11
1960,w38,1,b,37332,2,,11,37,13,12,12
1960,w96,1,b,37498,2,,21,44,10,10,0
1960,ex74,1,b,54008,2,,47,63,7,7,0
1960,b204,1,b,54276,2,,19,39,10,10,10
1960,ex10a,1,b,54357,2,,21,42,10,10,10
1960,w41,1,b,54400,2,,22,45,11,11,11
1960,w50,1,b,54429,2,,18,43,13,11,11
1960,ex59,1,b,54444,2,,21,43,11,10,9
1960,o49,1,b,54466,2,,18,42,11,10,10
1960,w47,1,b,54498,2,,15,40,13,12,12
1960,ex28,2,b,54705,2,,49,65,6,6,6
1960,o18,1,b,54728,2,,19,49,12,,3
1960,ex41a,1,b,54733,2,,20,43,12,12,12
1960,o80,1,b,57079,2,,22,46,10,9,9
1960,w43,1,b,57221,2,,26,48,11,11,11
1960,o11,1,b,57265,2,,20,42,11,10,10
1960,w2,1,b,85579,2,,17,41,13,13,12
1960,w5,1,b,85606,2,,17,38,9,7,6
1960,w92,1,b,85631,2,,19,42,12,12,0
1960,w4,1,b,85643,2,,21,47,14,14,13
1960,pr29,1,g,603701,2,,25,47,11,,0
1960,pr4,1,g,603701,2,,54,76,10,9,5
1960,o76,1,g,603711,2,,19,42,11,11,8
1960,b190,1,g,603714,2,,27,48,9,9,2
1960,b178,1,g,603717,2,,23,45,10,10,10
1960,b76,1,g,603719,2,,28,48,8,8,10
1960,w74,1,g,603734,2,,25,46,9,9,0
1960,w27,1,g,603740,2,,26,46,8,8,8
1960,b137,1,g,603743,2,,21,43,10,9,0
1960,w9,1,g,603748,2,,21,41,8,8,4
1960,w79,1,g,603765,2,,26,46,8,8,5
1960,o86,1,g,607001,2,,29,48,7,7,4
1960,b35,1,g,607083,2,,21,42,9,9,9
1960,w54,1,g,607116,2,,25,43,6,6,3
1960,ex61,1,g,607133,2,,26,46,8,7,6
1960,ex39,1,g,607169,2,,24,42,5,5,5
1960,o75,1,g,607215,2,,22,44,10,10,10
1960,o55,1,g,607274,2,,27,46,7,4,4
1960,b60,1,g,607296,2,,27,49,10,10,10
1960,ex62,1,g,607378,2,,25,44,7,7,7
1960,b81,1,g,607406,2,,26,48,10,9,15
1960,b150,1,g,607457,2,,26,46,8,8,5
1960,ex14b,1,g,607532,2,,26,45,7,7,3
1960,b62,1,g,607549,2,,20,40,8,8,5
1960,ex35a,1,g,607601,2,,25,44,7,7,6
1960,o72,1,g,607703,2,,32,52,8,4,4
1960,ex32,1,g,608107,2,,24,43,7,7,7
1960,ex38a,1,g,608108,2,,18,38,11,11,9
1960,w15,1,g,608302,2,,18,38,8,8,8
1960,ex5,1,g,608322,2,,30,49,7,4,2
1960,ex6,1,g,608323,2,,23,43,8,7,2
1960,cp2,2,g,608330,2,,23,41,6,6,6
1960,b103,1,g,608333,2,,27,46,7,6,6
1960,ex78,1,g,608339,2,,24,45,9,9,9
1960,o57,1,g,608359,2,,14,33,9,8,10
1960,o45,1,g,608368,2,,20,39,7,6,3
