SAFE CODE,Oak,Area,Oak ID,X,Y,DBH,Health,Date,Surveyor,GPS,Nest box,Accuracy,Fungus,Unique reference ID,SAFE CODE 2
1,1,MP,MP1,447541.7,207325.4,62,1,08/02/2011,Mark,2,,3,,8-Mark-MP1,1
2,2,MP,MP2,447555.7,207308.4,107,1,08/02/2011,Mark,2,,3,,8-Mark-MP2,2
3,3,MP,MP3,447532.7,207304.4,59,1,08/02/2011,Mark,2,,3,,8-Mark-MP3,3
4,4,MP,MP4,447525.7,207299.4,90,1,08/02/2011,Mark,2,,3,,8-Mark-MP4,4
5,5,MP,MP5,447531.7,207290.4,70,1,08/02/2011,Mark,2,,3,,8-Mark-MP5,5
6,6,MP,MP6,447535.7,207298.4,53,3,08/02/2011,Mark,2,,3.1,,8-Mark-MP6,6
7,7,MP,MP7,447551.0,207310.0,70,5,08/02/2011,Mark,2,,3.2,yes,8-Mark-MP7,7
8,8,MP,MP8,447562.7,207294.4,65,1,08/02/2011,Mark,2,,3,,8-Mark-MP8,8
9,9,MP,MP9,447579.7,207284.4,60,1,08/02/2011,Mark,2,,3,,8-Mark-MP9,9
10,10,MP,MP10,447585.7,207281.4,66,1,08/02/2011,Mark,2,,3.3,,8-Mark-MP10,10
11,11,MP,MP11,447596.7,207292.4,57,3,08/02/2011,Mark,2,,3,,8-Mark-MP11,11
12,12,MP,MP12,447605.0,207287.0,90,5,08/02/2011,Mark,2,,3,,8-Mark-MP12,12
13,13,MP,MP13,447620.7,207270.4,68,1,08/02/2011,Mark,2,,3,,8-Mark-MP13,13
14,14,MP,MP14,447622.7,207271.4,79,1,08/02/2011,Mark,2,,3.6,,8-Mark-MP14,14
15,15,MP,MP15,447652.7,207269.4,100,1,08/02/2011,Mark,2,,3,,8-Mark-MP15,15
16,16,MP,MP16,447655.7,207261.4,37,1,08/02/2011,Mark,2,,3,,8-Mark-MP16,16
17,17,MP,MP17,447668.7,207265.4,85,3,08/02/2011,Mark,2,,3,,8-Mark-MP17,17
18,18,MP,MP18,447678.7,207260.4,75,1,08/02/2011,Mark,2,,3.2,,8-Mark-MP18,18
19,19,MP,MP19,447688.7,207260.4,77,1,08/02/2011,Mark,2,,3,,8-Mark-MP19,19
20,20,MP,MP20,447708.7,207241.4,61,3,08/02/2011,Mark,2,,3.1,,8-Mark-MP20,20
21,21,MP,MP21,447730.7,207243.4,64,1,08/02/2011,Mark,2,,3,,8-Mark-MP21,21
22,22,MP,MP22,447768.0,207240.0,85,5,08/02/2011,Mark,2,,3,,8-Mark-MP22,22
23,23,MP,MP23,447772.7,207229.4,50,1,08/02/2011,Mark,2,,3,,8-Mark-MP23,23
24,24,MP,MP24,447766.7,207214.4,45,3,08/02/2011,Mark,2,,3,,8-Mark-MP24,24
25,25,MP,MP25,447781.7,207199.4,55,3,08/02/2011,Mark,2,,3,,8-Mark-MP25,25
26,26,MP,MP26,447802.0,207225.0,71,5,08/02/2011,Mark,2,,3,,8-Mark-MP26,26
27,27,MP,MP27,447808.0,207193.0,67,5,08/02/2011,Mark,2,MP97,3,,8-Mark-MP27,27
28,28,MP,MP28,447811.7,207181.4,42,1,08/02/2011,Mark,2,,3,,8-Mark-MP28,28
29,29,MP,MP29,447814.7,207179.4,70,1,08/02/2011,Mark,2,,3,,8-Mark-MP29,29
30,30,MP,MP30,447807.7,207177.4,50,1,08/02/2011,Mark,2,,3.3,,8-Mark-MP30,30
31,31,MP,MP31,447805.7,207173.4,57,1,08/02/2011,Mark,2,,3,,8-Mark-MP31,31
32,32,MP,MP32,447815.0,207179.0,56,5,08/02/2011,Mark,2,,3.1,,8-Mark-MP32,32
33,33,MP,MP33,447815.7,207188.4,53,1,08/02/2011,Mark,2,,3,,8-Mark-MP33,33
34,34,MP,MP34,447819.7,207177.4,63,3,08/02/2011,Mark,2,MP98,3,,8-Mark-MP34,34
35,35,MP,MP35,447828.7,207176.4,71,1,08/02/2011,Mark,2,,3,,8-Mark-MP35,35
36,36,MP,MP36,447817.7,207168.4,80,1,08/02/2011,Mark,2,,3.6,,8-Mark-MP36,36
37,37,MP,MP37,447816.7,207163.4,41,3,08/02/2011,Mark,2,,3.9,,8-Mark-MP37,37
38,38,MP,MP38,447824.7,207157.4,47,3,08/02/2011,Mark,2,,3.2,,8-Mark-MP38,38
39,39,MP,MP39,447860.7,207168.4,68,1,08/02/2011,Mark,2,,3.5,,8-Mark-MP39,39
40,40,MP,MP40,447841.0,207195.0,59,5,08/02/2011,Mark,2,,4.2,,8-Mark-MP40,40
41,41,MP,MP41,447845.0,207186.0,41,5,08/02/2011,Mark,2,,3.4,,8-Mark-MP41,41
42,42,MP,MP42,447878.7,207167.4,73,1,08/02/2011,Mark,2,,3.8,,8-Mark-MP42,42
43,43,MP,MP43,447886.0,207166.0,35,5,08/02/2011,Mark,2,,3.7,,8-Mark-MP43,43
44,44,MP,MP44,447889.7,207157.4,46,1,08/02/2011,Mark,2,,3.5,,8-Mark-MP44,44
45,45,MP,MP45,447901.7,207153.4,85,1,08/02/2011,Mark,2,,4.1,,8-Mark-MP45,45
46,46,MP,MP46,447905.7,207144.4,51,1,08/02/2011,Mark,2,,3.5,,8-Mark-MP46,46
47,47,MP,MP47,447908.7,207142.4,33,1,08/02/2011,Mark,2,,4.1,,8-Mark-MP47,47
48,48,MP,MP48,447908.7,207142.4,46,1,08/02/2011,Mark,2,,3.6,,8-Mark-MP48,48
49,49,MP,MP49,447917.7,207138.4,66,3,08/02/2011,Mark,2,,2.9,,8-Mark-MP49,49
50,50,MP,MP50,447937.7,207134.4,58,1,08/02/2011,Mark,2,,2.9,,8-Mark-MP50,50
51,51,MP,MP51,447933.7,207128.4,51,3,08/02/2011,Mark,2,,3.3,,8-Mark-MP51,51
52,52,MP,MP52,447931.7,207124.4,80,1,08/02/2011,Mark,2,,3.5,,8-Mark-MP52,52
53,53,MP,MP53,447943.7,207126.4,54,1,08/02/2011,Mark,2,,3.1,,8-Mark-MP53,53
54,54,MP,MP54,447945.7,207125.4,75,1,08/02/2011,Mark,2,,3,,8-Mark-MP54,54
55,55,MP,MP55,447950.7,207107.4,47,3,08/02/2011,Mark,2,,3,,8-Mark-MP55,55
56,56,MP,MP56,447959.7,207111.4,76,1,08/02/2011,Mark,2,,3.3,,8-Mark-MP56,56
57,57,MP,MP57,447958.7,207104.4,72,1,08/02/2011,Mark,2,,3.3,,8-Mark-MP57,57
58,58,MP,MP58,447959.7,207096.4,49,3,08/02/2011,Mark,2,,3.5,,8-Mark-MP58,58
